,percantage_of_greater_than85,percantage_of_greater_than90,percantage_of_greater_than95,list_size,average_mae_agent,average_mae_opponent
percantage_of_greater_than85,1.0,0.4578898563709136,0.4377724484252677,-0.19777026075263618,0.1335269911453901,0.278665024999075
percantage_of_greater_than90,0.4578898563709136,1.0,0.5244316046725498,-0.33510931247593684,0.05219913611144598,0.38086036347980956
percantage_of_greater_than95,0.4377724484252677,0.5244316046725498,1.0,-0.4176358549835276,-0.0009671184406759477,0.3529982308467209
list_size,-0.19777026075263618,-0.33510931247593684,-0.4176358549835276,1.0,0.05517919344917839,-0.1035819947203875
average_mae_agent,0.1335269911453901,0.05219913611144598,-0.0009671184406759477,0.05517919344917839,1.0,0.11111111111111112
average_mae_opponent,0.278665024999075,0.38086036347980956,0.3529982308467209,-0.1035819947203875,0.11111111111111112,1.0
